Voltage (V),Current (mA),Resistance (kOhm)
1.5,3.2,0.469
3.1,6.5,0.477
3.8,8,0.475
4.7,10,0.470
5.7,12,0.475
7.1,15,0.473
9.4,20,0.470
11.8,25,0.472
18.8,39.8,0.472
23.5,49.8,0.472
29.3,61.9,0.473